"srsRAN Version","Num all files","Size all files (B)","Num code files (cpp, py, c, cc, h, sh, go, c, js, java)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram",
"srsRAN-release_002_000_000","549","7339930","482","6876270","*","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","*",".h (200), .c (166), .cc (89), .txt (59), .cmake (18), .example (5),  (3), .in (3), .dat (3), .md (1), .mexa64 (1), .cpp (1)",
"srsRAN-release_17_09","571","7956235","503","7299272","*","21383","8593","318","0.5569176882661997","3605187","0.45312726434048267","*","21108","7094","292","0.5805168986083499","3348541","0.4587499958900011","*",".h (211), .c (176), .cc (89), .txt (59), .cmake (18), .example (5),  (3), .in (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1)",
"srsRAN-release_17_12","618","8695566","543","8025832","*","28246","7120","340","0.5501618122977346","6573984","0.7560156521151125","*","27644","6900","313","0.576427255985267","6491051","0.808769857131323","*",".h (227), .c (179), .cc (106), .txt (66), .cmake (17), .example (7), .in (5),  (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)",
"srsRAN-release_18_03","618","8801790","543","8131516","*","5141","2334","159","0.25728155339805825","3518474","0.39974527908527696","*","5082","2317","151","0.27808471454880296","3468729","0.4265783895647503","*",".h (227), .c (179), .cc (106), .txt (66), .cmake (17), .example (7), .in (5),  (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)",
"srsRAN-release_18_03_1","618","8808952","543","8138628","*","870","845","278","0.44983818770226536","3316700","0.3765147091277146","*","859","838","272","0.5009208103130756","3305988","0.4062094987017468","*",".h (227), .c (179), .cc (106), .txt (66), .cmake (17), .example (7), .in (5),  (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)",
"srsRAN-release_18_06","649","9242952","564","8532289","*","19793","6913","303","0.46687211093990755","6766159","0.7320344193067323","*","18546","6642","266","0.4716312056737589","6600281","0.7735651007601829","*",".h (233), .c (181), .cc (115), .txt (69), .cmake (18),  (9), .example (9), .in (6), .dat (3), .md (1), .install (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)",
"srsRAN-release_18_06_1","651","9224173","564","8536495","*","359","600","41","0.0629800307219662","721856","0.07825698845847752","*","196","63","29","0.051418439716312055","692489","0.08112099872371506","*",".h (233), .c (181), .cc (115), .txt (69), .cmake (18),  (12), .example (9), .in (6), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)",
"srsRAN-release_18_09","652","9326763","565","8636533","*","9505","6079","207","0.3174846625766871","3225775","0.34586222465393407","*","9347","3959","185","0.3274336283185841","3156951","0.3655345264123926","*",".h (237), .c (178), .cc (115), .txt (69), .cmake (18),  (12), .example (9), .in (6), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)",
"srsRAN-release_18_12","684","15803137","582","15103974","*","233625","29839","221","0.3230994152046784","12023134","0.7608067942459779","*","233083","7389","172","0.29553264604810997","11927817","0.7897138196874545","*",".h (241), .c (178), .cc (125), .txt (72), .cmake (18),  (10), .example (9), .in (6), .install (5), .manpages (3), .service (3), .dat (3), .md (2), .sh (2), .yml (1), .config (1), .postinst (1), .templates (1), .mexa64 (1), .bin (1), .cpp (1)",
"srsRAN-release_19_03","682","15487524","584","14796291","*","62729","87190","657","0.9633431085043989","14103544","0.9106390408176285","*","62173","75812","536","0.9178082191780822","13923844","0.9410361015473405","*",".h (255), .c (158), .cc (131), .txt (69), .cmake (19),  (10), .example (9), .in (6), .install (5), .manpages (3), .service (3), .dat (3), .md (2), .sh (2), .cpp (2), .yml (1), .config (1), .postinst (1), .templates (1), .bin (1)",
