srsRAN Version,Num all files,Size all files (B),"Num code files (cpp, py, c, cc, h, sh, go, c, js, java)",Size code files (B),*,All line additions,All line removals,All files changed,Ratio all files changed,All changed bytes,Ratio all bytes changed,*,Code line additions,Code line removals,Code files changed,Ratio code files changed,Code changed bytes,Ratio code bytes changed,*,File extenension histogram
v2.0,549,7339930,482,6876270,*,N/A,N/A,N/A,N/A,N/A,N/A,*,N/A,N/A,N/A,N/A,N/A,N/A,*,".h (200), .c (166), .cc (89), .txt (59), .cmake (18), .example (5),  (3), .in (3), .dat (3), .md (1), .mexa64 (1), .cpp (1)"
v17.09,571,7956235,503,7299272,*,21383,8593,318,0.556917688,3605187,0.453127264,*,21108,7094,292,0.580516899,3348541,0.458749996,*,".h (211), .c (176), .cc (89), .txt (59), .cmake (18), .example (5),  (3), .in (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1)"
v17.12,618,8695566,543,8025832,*,28246,7120,340,0.550161812,6573984,0.756015652,*,27644,6900,313,0.576427256,6491051,0.808769857,*,".h (227), .c (179), .cc (106), .txt (66), .cmake (17), .example (7), .in (5),  (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)"
v18.03,618,8801790,543,8131516,*,5141,2334,159,0.257281553,3518474,0.399745279,*,5082,2317,151,0.278084715,3468729,0.42657839,*,".h (227), .c (179), .cc (106), .txt (66), .cmake (17), .example (7), .in (5),  (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)"
v18.03.1,618,8808952,543,8138628,*,870,845,278,0.449838188,3316700,0.376514709,*,859,838,272,0.50092081,3305988,0.406209499,*,".h (227), .c (179), .cc (106), .txt (66), .cmake (17), .example (7), .in (5),  (3), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)"
v18.06,649,9242952,564,8532289,*,19793,6913,303,0.466872111,6766159,0.732034419,*,18546,6642,266,0.471631206,6600281,0.773565101,*,".h (233), .c (181), .cc (115), .txt (69), .cmake (18),  (9), .example (9), .in (6), .dat (3), .md (1), .install (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)"
v18.06.1,651,9224173,564,8536495,*,359,600,41,0.062980031,721856,0.078256988,*,196,63,29,0.05141844,692489,0.081120999,*,".h (233), .c (181), .cc (115), .txt (69), .cmake (18),  (12), .example (9), .in (6), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)"
v18.09,652,9326763,565,8636533,*,9505,6079,207,0.317484663,3225775,0.345862225,*,9347,3959,185,0.327433628,3156951,0.365534526,*,".h (237), .c (178), .cc (115), .txt (69), .cmake (18),  (12), .example (9), .in (6), .dat (3), .md (1), .mexa64 (1), .bin (1), .cpp (1), .sh (1)"
v18.12,684,15803137,582,15103974,*,233625,29839,221,0.323099415,12023134,0.760806794,*,233083,7389,172,0.295532646,11927817,0.78971382,*,".h (241), .c (178), .cc (125), .txt (72), .cmake (18),  (10), .example (9), .in (6), .install (5), .manpages (3), .service (3), .dat (3), .md (2), .sh (2), .yml (1), .config (1), .postinst (1), .templates (1), .mexa64 (1), .bin (1), .cpp (1)"
v19.03,682,15487524,584,14796291,*,62729,87190,657,0.963343109,14103544,0.910639041,*,62173,75812,536,0.917808219,13923844,0.941036102,*,".h (255), .c (158), .cc (131), .txt (69), .cmake (19),  (10), .example (9), .in (6), .install (5), .manpages (3), .service (3), .dat (3), .md (2), .sh (2), .cpp (2), .yml (1), .config (1), .postinst (1), .templates (1), .bin (1)"
